id,region_id,lat,lng,title,geotype_id
303023680,21,49.523000,23.197631,Самбір,1
303023755,20,51.328459,26.607320,Сарни,2
303023798,6,48.544465,22.997179,Свалява,2
303023806,23,49.407361,38.155063,Сватове,2
303023818,23,48.058342,39.658703,Довжанськ,1
303023834,17,49.052617,33.218056,Світловодськ,1
303023840,15,48.432253,38.244329,Світлодарськ,2
303023927,15,49.040363,37.571395,Святогірськ,2
303023933,8,44.570424,33.567230,Севастополь,1
303023954,23,48.953308,38.488485,Сєвєродонецьк,1
303023955,15,48.885110,38.089382,Сіверівськ,2
303023988,15,48.148708,37.295915,Селидове,1
303024074,13,52.176615,32.592746,Семенівка,2
303024206,16,52.185837,34.034858,Середина-Буда,2
303024302,8,44.964197,34.090369,Сімферополь,1
303024317,12,48.316990,35.519148,Синельникове,1
303024376,10,46.121157,32.886081,Скадовськ,2
303024381,14,49.429695,25.974931,Скалат,2
303024394,3,49.729207,29.655349,Сквира,2
303024435,21,49.033604,23.500200,Сколе,2
303024512,7,50.299904,26.865448,Славута,1
303024514,3,51.524563,30.740630,Славутич,1
303024521,15,48.848796,37.624299,Слов'янськ,1
303024655,18,49.210995,31.874498,Сміла,1
303024736,15,48.038827,38.734879,Сніжне,1
303024738,19,47.069738,32.801071,Снігурівка,2
303024754,24,48.452942,25.571837,Снятин,2
303024788,21,50.475821,24.284082,Сокаль,2
303024802,25,48.453707,27.404476,Сокиряни,2
303024883,15,48.693714,38.070032,Соледар,2
303025056,21,50.291232,24.257183,Соснівка,2
303025386,23,49.277703,38.925493,Старобільськ,2
303025422,7,49.753634,27.202730,Старокостянтинів,1
303025510,8,45.029927,35.084992,Старий Крим,2
303025530,21,49.442532,23.007470,Старий Самбір,2
303025551,23,48.562493,38.658164,Кадіївка,1
303025562,21,49.301997,23.545122,Стебник,2
303025794,25,48.160080,25.715345,Сторожинець,2
303025895,21,49.260428,23.841699,Стрий,1
303025968,8,44.854493,34.971140,Судак,1
303025978,21,49.791239,23.360245,Судова Вишня,2
303026010,16,50.906071,34.814715,Суми,1
303026105,23,48.352417,39.726271,Суходільськ,2
303026171,23,48.738040,39.229567,Щастя,2
303026219,10,46.754329,33.430450,Таврійськ,2
303026252,18,48.888669,30.709282,Тальне,2
303026372,3,49.559859,30.505812,Тараща,2
303026390,11,45.845844,29.613621,Татарбунари,2
303026471,23,48.603281,38.583783,Ірміно,2
303026472,11,46.506338,30.325170,Теплодар,1
303026483,14,49.299989,25.700251,Теребовля,2
303026547,12,48.525659,36.086776,Тернівка,1
303026571,14,49.549780,25.597412,Тернопіль,1
303026599,3,49.365439,29.697858,Тетіїв,2
303026705,24,48.857158,25.004566,Тлумач,2
303026733,9,47.247489,35.705843,Токмак,1
303026846,15,48.033121,38.615306,Чистякове,1
303026989,16,50.486266,34.976023,Тростянець,2
303027104,21,49.276240,23.512239,Трускавець,1
303027130,4,48.674565,28.840310,Тульчин,2
303027160,21,49.155239,23.026815,Турка,2
303027222,24,48.901704,24.847230,Тисмениця,2
303027247,6,48.017113,23.586546,Тячів,2
303027295,15,48.306502,38.272858,Вуглегірськ,2
303027296,15,47.779528,37.247658,Вугледар,1
303027306,21,50.365981,23.756172,Угнів,2
303027343,6,48.622920,22.291182,Ужгород,1
303027349,3,49.825135,30.405379,Узин,2
303027377,3,50.142606,30.738132,Українка,2
303027382,15,48.095501,37.362996,Українськ,2
303027463,17,48.327098,30.231271,Благовіщенське,2
303027480,18,48.751254,30.210538,Умань,1
303027543,22,50.860001,24.153685,Устилуг,2
303027617,3,50.074515,29.908551,Фастів,1
303027712,8,45.054455,35.381353,Феодосія,1
303027835,15,48.041679,38.141101,Харцизьк,1
303027839,1,49.986776,36.278841,Харків,1
303027883,10,46.648313,32.623160,Херсон,1
303027969,4,49.559497,27.957344,Хмільник,1
303027973,7,49.415803,26.995374,Хмельницький,1
303027996,21,49.406871,24.308958,Ходорів,2
303028080,2,49.778000,33.255717,Хорол,2
303028086,14,49.208578,25.911759,Хоростків,2
303028118,25,48.508384,26.493341,Хотин,2
303028167,18,48.813964,29.974497,Христинівка,2
303028198,6,48.178972,23.292333,Хуст,1
303028216,21,49.534947,22.851264,Хирів,2
303028323,10,46.616869,32.726397,Олешки,2
303028427,15,48.583435,37.838961,Часів Яр,2
303028600,21,50.385712,24.222776,Червоноград,1
303028673,2,50.401798,33.376655,Заводське,2
303028681,23,48.071627,39.800370,Червонопартизанськ,2
303028869,18,49.431473,32.053305,Черкаси,1
303028915,13,51.497140,31.298543,Чернігів,1
303028944,3,51.275298,30.221885,Чорнобиль,2
303028948,25,48.321347,25.933918,Чернівці,1
303029057,18,49.082844,32.652420,Чигирин,2
303029126,6,48.431415,22.204934,Чоп,1
303029151,14,49.003960,25.792228,Чортків,2
303029163,1,49.835422,36.674136,Чугуїв,1
303029174,5,50.053707,28.113365,Чуднів,2
303029261,4,48.754267,28.083652,Шаргород,2
303029295,15,48.062815,38.450104,Шахтарськ,1
303029510,7,50.181612,27.060033,Шепетівка,1
303029729,16,51.866808,33.486638,Шостка,1
303029753,18,48.993957,31.385894,Шпола,2
303029802,14,50.121608,26.118127,Шумськ,2
303029840,8,45.424412,35.821470,Щолкіне,2
303029880,13,51.820248,31.950372,Сновськ,2
303029904,9,47.499114,34.625795,Енергодар,1
303029917,11,46.619452,31.092166,Южне,1
303029921,19,47.819941,31.187860,Южноукраїнськ,1
303029932,15,48.221529,38.281801,Бунге,2
303030071,21,49.939288,23.386813,Яворів,2
303030098,3,50.260416,31.782071,Яготин,2
303030156,8,44.501732,34.158138,Ялта,1
303030179,4,48.244111,28.283239,Ямпіль,2
303030204,24,48.460762,24.578034,Яремче,1
303030298,15,48.132113,37.863620,Ясинувата,1
