I_Code_departament	I_Region	I_Dep	I_Chefleeu	I_Tncc	I_Ncc	I_Nccenr	Wiki_Url	Wiki_Name_Snipet	Wiki_name_departement	W_Pays	W_Region	W_Creation_du_departementt	W_Chef_lieu	W_Sous_pefectures	W_President_du_conseil_departemental	W_Prefet	W_Code_Insee	W_Code_ISO_3166_2	W_Code_Eurostat_NUTS_3	W_Gentile	W_Population	W_Densite	W_Superficie	W_Arrondissements	W_Circonscriptions_legislatives	W_Cantons	W_Intercommunalites	W_Communes	W_Name_ru	W_Name_uk	W_Name_en	W_Name_de	W_Name_pl	W_Name_es	W_Name_pt	W_Name_it	W_Name_nl	W_Name_da	W_Name_no	W_Name_sv	W_Name_cs	W_Name_ro	W_Name_bg	W_Name_hu	W_Name_sk	W_Name_sl	W_Name_sh	W_Name_hr	W_Url_ru	W_Url_uk	W_Url_en	W_Url_de	W_Url_pl	W_Url_es	W_Url_pt	W_Url_it	W_Url_nl	W_Url_da	W_Url_no	W_Url_sv	W_Url_cs	W_Url_ro	W_Url_bg	W_Url_hu	W_Url_sk	W_Url_sl	W_Url_sh	W_Url_hr
81	76	81	81004	2	TARN	Tarn	/wiki/Tarn_(département)	Tarn (département)	Tarn	France	Occitanie	4 mars 1790	(Préfecture) Albi	Castres	None	Jean-Michel Mougard[1]	81	FR-81	None	Tarnais	384 474 hab. (2014)	67 hab./km2	5 758 km2	2	3	23	14[note 1].	319	Тарн (департамент)	Тарн	Tarn (department)	Département Tarn	Tarn (departament)	Tarn (departamento)	Tarn	Tarn	Tarn (departement)	Tarn	Tarn	Tarn	Tarn (departement)	Tarn	Тарн (департамент)	Tarn	Tarn (departement)	Tarn (departma)	Tarn	Tarn (departman)	https://ru.wikipedia.org/wiki/Тарн_(департамент)	https://uk.wikipedia.org/wiki/Тарн	https://en.wikipedia.org/wiki/Tarn_(department)	https://de.wikipedia.org/wiki/Département_Tarn	https://pl.wikipedia.org/wiki/Tarn_(departament)	https://es.wikipedia.org/wiki/Tarn_(departamento)	https://pt.wikipedia.org/wiki/Tarn	https://it.wikipedia.org/wiki/Tarn	https://nl.wikipedia.org/wiki/Tarn_(departement)	https://da.wikipedia.org/wiki/Tarn	https://no.wikipedia.org/wiki/Tarn	https://sv.wikipedia.org/wiki/Tarn	https://cs.wikipedia.org/wiki/Tarn_(departement)	https://ro.wikipedia.org/wiki/Tarn	https://bg.wikipedia.org/wiki/Тарн_(департамент)	https://hu.wikipedia.org/wiki/Tarn	https://sk.wikipedia.org/wiki/Tarn_(departement)	https://sl.wikipedia.org/wiki/Tarn_(departma)	https://sh.wikipedia.org/wiki/Tarn	https://hr.wikipedia.org/wiki/Tarn_(departman)
86	75	86	86194	3	VIENNE	Vienne	/wiki/Vienne_(département)	Vienne (département)	Vienne	France	Nouvelle-Aquitaine	4 mars 1790	(Préfecture) Poitiers	Châtellerault Montmorillon	None	None	86	FR-86	None	Viennois	433 203 hab. (2014)	62 hab./km2	6 990 km2	3	4	19	7	274	Вьенна (департамент)	В'єнна	Vienne	Département Vienne	Vienne (departament)	Vienne	Vienne (departamento)	Vienne (dipartimento)	Vienne (departement)	Vienne	Vienne	Vienne (departement)	Vienne (departement)	Vienne	Виен (департамент)	Vienne (megye)	Vienne (departement)	Vienne (departma)	Vienne	Vienne	https://ru.wikipedia.org/wiki/Вьенна_(департамент)	https://uk.wikipedia.org/wiki/В'єнна	https://en.wikipedia.org/wiki/Vienne	https://de.wikipedia.org/wiki/Département_Vienne	https://pl.wikipedia.org/wiki/Vienne_(departament)	https://es.wikipedia.org/wiki/Vienne	https://pt.wikipedia.org/wiki/Vienne_(departamento)	https://it.wikipedia.org/wiki/Vienne_(dipartimento)	https://nl.wikipedia.org/wiki/Vienne_(departement)	https://da.wikipedia.org/wiki/Vienne	https://no.wikipedia.org/wiki/Vienne	https://sv.wikipedia.org/wiki/Vienne_(departement)	https://cs.wikipedia.org/wiki/Vienne_(departement)	https://ro.wikipedia.org/wiki/Vienne	https://bg.wikipedia.org/wiki/Виен_(департамент)	https://hu.wikipedia.org/wiki/Vienne_(megye)	https://sk.wikipedia.org/wiki/Vienne_(departement)	https://sl.wikipedia.org/wiki/Vienne_(departma)	https://sh.wikipedia.org/wiki/Vienne	https://hr.wikipedia.org/wiki/Vienne
87	75	87	87085	3	HAUTE-VIENNE	Haute-Vienne	/wiki/Haute-Vienne	Haute-Vienne	Haute-Vienne	France	Nouvelle-Aquitaine	4 mars 1790	(Préfecture) Limoges	Bellac Rochechouart	None	Raphaël Le Méhauté[1]	87	FR-87	None	Haut-Viennois	376 199 hab. (2014)	68 hab./km2	5 520 km2	3	3	21	13	200	Верхняя Вьенна	Верхня В'єнна	Haute-Vienne	Département Haute-Vienne	Haute-Vienne	Alto Vienne	Alto Vienne	Alta Vienne	Haute-Vienne	Haute-Vienne	Haute-Vienne	Haute-Vienne	Haute-Vienne	Haute-Vienne	От Виен	Haute-Vienne	Haute-Vienne	Haute-Vienne	Haute-Vienne		https://ru.wikipedia.org/wiki/Верхняя_Вьенна	https://uk.wikipedia.org/wiki/Верхня_В'єнна	https://en.wikipedia.org/wiki/Haute-Vienne	https://de.wikipedia.org/wiki/Département_Haute-Vienne	https://pl.wikipedia.org/wiki/Haute-Vienne	https://es.wikipedia.org/wiki/Alto_Vienne	https://pt.wikipedia.org/wiki/Alto_Vienne	https://it.wikipedia.org/wiki/Alta_Vienne	https://nl.wikipedia.org/wiki/Haute-Vienne	https://da.wikipedia.org/wiki/Haute-Vienne	https://no.wikipedia.org/wiki/Haute-Vienne	https://sv.wikipedia.org/wiki/Haute-Vienne	https://cs.wikipedia.org/wiki/Haute-Vienne	https://ro.wikipedia.org/wiki/Haute-Vienne	https://bg.wikipedia.org/wiki/От_Виен	https://hu.wikipedia.org/wiki/Haute-Vienne	https://sk.wikipedia.org/wiki/Haute-Vienne	https://sl.wikipedia.org/wiki/Haute-Vienne	https://sh.wikipedia.org/wiki/Haute-Vienne	
84	93	84	84007	2	VAUCLUSE	Vaucluse	/wiki/Vaucluse_(département)	Vaucluse (département)	Vaucluse	France	Provence-Alpes-Côte d'Azur	12 août 1793	(Préfecture) Avignon	Apt Carpentras	None	Jean-Christophe Moraud	84	FR-84	None	Vauclusiens	554 374 hab. (2014)	155 hab./km2	3 567 km2	3	5	17	13	151	Воклюз	Воклюз (департамент)	Vaucluse	Département Vaucluse	Vaucluse (departament)	Vaucluse	Vaucluse	Vaucluse	Vaucluse (departement)	Vaucluse	Vaucluse	Vaucluse	Vaucluse (departement)	Vaucluse	Воклюз	Vaucluse	Vaucluse	Vaucluse (departma)	Vaucluse		https://ru.wikipedia.org/wiki/Воклюз	https://uk.wikipedia.org/wiki/Воклюз_(департамент)	https://en.wikipedia.org/wiki/Vaucluse	https://de.wikipedia.org/wiki/Département_Vaucluse	https://pl.wikipedia.org/wiki/Vaucluse_(departament)	https://es.wikipedia.org/wiki/Vaucluse	https://pt.wikipedia.org/wiki/Vaucluse	https://it.wikipedia.org/wiki/Vaucluse	https://nl.wikipedia.org/wiki/Vaucluse_(departement)	https://da.wikipedia.org/wiki/Vaucluse	https://no.wikipedia.org/wiki/Vaucluse	https://sv.wikipedia.org/wiki/Vaucluse	https://cs.wikipedia.org/wiki/Vaucluse_(departement)	https://ro.wikipedia.org/wiki/Vaucluse	https://bg.wikipedia.org/wiki/Воклюз	https://hu.wikipedia.org/wiki/Vaucluse	https://sk.wikipedia.org/wiki/Vaucluse	https://sl.wikipedia.org/wiki/Vaucluse_(departma)	https://sh.wikipedia.org/wiki/Vaucluse	
85	52	85	85191	3	VENDEE	Vendée	/wiki/Vendée_(département)	Vendée (département)	Vendée	Région  de la Loire	Pays de la Loire	None	(Préfecture) La Roche-sur-Yon	Les Sables-d'Olonne Fontenay-le-Comte	None	Benoît Brocart[1]	85	FR-85	None	Vendéens	662 122 hab. (2014)	99 hab./km2	6 719,59 km2	3	5	17	19	267	Вандея	Вандея	Vendée	Département Vendée	Wandea (departament)	Vandea	Vendeia	Vandea	Vendée (departement)	Vendée	Vendée	Vendée	Vendée	Vendée	Вандея	Vendée	Vendée (departement)	Vendée (departma)	Vendée	Vendée	https://ru.wikipedia.org/wiki/Вандея	https://uk.wikipedia.org/wiki/Вандея	https://en.wikipedia.org/wiki/Vendée	https://de.wikipedia.org/wiki/Département_Vendée	https://pl.wikipedia.org/wiki/Wandea_(departament)	https://es.wikipedia.org/wiki/Vandea	https://pt.wikipedia.org/wiki/Vendeia	https://it.wikipedia.org/wiki/Vandea	https://nl.wikipedia.org/wiki/Vendée_(departement)	https://da.wikipedia.org/wiki/Vendée	https://no.wikipedia.org/wiki/Vendée	https://sv.wikipedia.org/wiki/Vendée	https://cs.wikipedia.org/wiki/Vendée	https://ro.wikipedia.org/wiki/Vendée	https://bg.wikipedia.org/wiki/Вандея	https://hu.wikipedia.org/wiki/Vendée	https://sk.wikipedia.org/wiki/Vendée_(departement)	https://sl.wikipedia.org/wiki/Vendée_(departma)	https://sh.wikipedia.org/wiki/Vendée	https://hr.wikipedia.org/wiki/Vendée
02	32	2	2408	5	AISNE	Aisne	/wiki/Aisne_(département)	Aisne (département)	Aisne	France	Hauts-de-France	4 mars 1790	(Préfecture) Laon	Château-Thierry Saint-Quentin Soissons Vervins	None	Nicolas Basselier[1]	02	FR-02	None	Axonais	539 783 hab. (2014)	73 hab./km2	7 361,53 km2	5	5	21	20	804	Эна (департамент)	Ена (департамент)	Aisne	Département Aisne	Aisne (departament)	Aisne	Aisne	Aisne	Aisne (departement)	Aisne (departement)	Aisne (departement)	Aisne	Aisne (departement)	Aisne	Ен (О дьо Франс)	Aisne (megye)	Aisne (departement)	Aisne (departma)	Aisne (departman)		https://ru.wikipedia.org/wiki/Эна_(департамент)	https://uk.wikipedia.org/wiki/Ена_(департамент)	https://en.wikipedia.org/wiki/Aisne	https://de.wikipedia.org/wiki/Département_Aisne	https://pl.wikipedia.org/wiki/Aisne_(departament)	https://es.wikipedia.org/wiki/Aisne	https://pt.wikipedia.org/wiki/Aisne	https://it.wikipedia.org/wiki/Aisne	https://nl.wikipedia.org/wiki/Aisne_(departement)	https://da.wikipedia.org/wiki/Aisne_(departement)	https://no.wikipedia.org/wiki/Aisne_(departement)	https://sv.wikipedia.org/wiki/Aisne	https://cs.wikipedia.org/wiki/Aisne_(departement)	https://ro.wikipedia.org/wiki/Aisne	https://bg.wikipedia.org/wiki/Ен_(О_дьо_Франс)	https://hu.wikipedia.org/wiki/Aisne_(megye)	https://sk.wikipedia.org/wiki/Aisne_(departement)	https://sl.wikipedia.org/wiki/Aisne_(departma)	https://sh.wikipedia.org/wiki/Aisne_(departman)	
03	84	3	3190	5	ALLIER	Allier	/wiki/Allier_(département)	Allier (département)	Allier	France	Auvergne-Rhône-Alpes	4 mars 1790	(Préfecture) Moulins	Montluçon Vichy	None	Pascal Sanjuan[1]	03	FR-03	None	Bourbonnais, Bourbonnaise	343 062 hab. (2014)	47 hab./km2	7 340 km2	3	3	19	11	317	Алье	Альє	Allier	Département Allier	Allier (departament)	Allier	Allier (departamento)	Allier	Allier (departement)	Allier	Allier	Allier (departement)	Allier (departement)	Allier	Алие (департамент)	Allier	Allier (departement)	Allier (departma)	Allier (departman)		https://ru.wikipedia.org/wiki/Алье	https://uk.wikipedia.org/wiki/Альє	https://en.wikipedia.org/wiki/Allier	https://de.wikipedia.org/wiki/Département_Allier	https://pl.wikipedia.org/wiki/Allier_(departament)	https://es.wikipedia.org/wiki/Allier	https://pt.wikipedia.org/wiki/Allier_(departamento)	https://it.wikipedia.org/wiki/Allier	https://nl.wikipedia.org/wiki/Allier_(departement)	https://da.wikipedia.org/wiki/Allier	https://no.wikipedia.org/wiki/Allier	https://sv.wikipedia.org/wiki/Allier_(departement)	https://cs.wikipedia.org/wiki/Allier_(departement)	https://ro.wikipedia.org/wiki/Allier	https://bg.wikipedia.org/wiki/Алие_(департамент)	https://hu.wikipedia.org/wiki/Allier	https://sk.wikipedia.org/wiki/Allier_(departement)	https://sl.wikipedia.org/wiki/Allier_(departma)	https://sh.wikipedia.org/wiki/Allier_(departman)	
01	84	1	1053	5	AIN	Ain	/wiki/Ain_(département)	Ain (département)	Ain	France	Auvergne-Rhône-Alpes	4 mars 1790	(Préfecture) Bourg-en-Bresse	Belley Gex Nantua	None	Arnaud Cochet[1]	01	FR-01	None	pas de nom officiel[2] Bressans, Dombistes, Bugistes, Gessiens	626 127 hab. (2014)	109 hab./km2	5 762 km2	4	5	23	18	408	Эн (департамент)	Ен	Ain	Département Ain	Ain (departament)	Ain	Ain	Ain	Ain (departement)	Ain (departement)	Ain (departement)	Ain	Ain (departement)	Ain	Ен (Рона-Алпи)	Ain	Ain	Ain	Ain (departman)		https://ru.wikipedia.org/wiki/Эн_(департамент)	https://uk.wikipedia.org/wiki/Ен	https://en.wikipedia.org/wiki/Ain	https://de.wikipedia.org/wiki/Département_Ain	https://pl.wikipedia.org/wiki/Ain_(departament)	https://es.wikipedia.org/wiki/Ain	https://pt.wikipedia.org/wiki/Ain	https://it.wikipedia.org/wiki/Ain	https://nl.wikipedia.org/wiki/Ain_(departement)	https://da.wikipedia.org/wiki/Ain_(departement)	https://no.wikipedia.org/wiki/Ain_(departement)	https://sv.wikipedia.org/wiki/Ain	https://cs.wikipedia.org/wiki/Ain_(departement)	https://ro.wikipedia.org/wiki/Ain	https://bg.wikipedia.org/wiki/Ен_(Рона-Алпи)	https://hu.wikipedia.org/wiki/Ain	https://sk.wikipedia.org/wiki/Ain	https://sl.wikipedia.org/wiki/Ain	https://sh.wikipedia.org/wiki/Ain_(departman)	
06	93	6	6088	4	ALPES-MARITIMES	Alpes-Maritimes	/wiki/Alpes-Maritimes	Alpes-Maritimes	Alpes-Maritimes	France	Provence-Alpes-Côte d'Azur	14 juin 1860	(Préfecture) Nice	Grasse	None	Georges-François Leclerc	06	FR-06	None	Maralpin(e)s	1 083 312 hab. (2014)	252 hab./km2	4 299 km2	2	9	27	7	163	Приморские Альпы (департамент)	Приморські Альпи (департамент)	Alpes-Maritimes	Département Alpes-Maritimes	Alpy Nadmorskie (departament)	Alpes Marítimos (departamento)	Alpes Marítimos	Alpi Marittime (dipartimento)	Alpes-Maritimes	Alpes-Maritimes	Alpes-Maritimes	Alpes-Maritimes	Alpes-Maritimes	Alpes-Maritimes	Алп Маритим	Alpes-Maritimes	Alpes-Maritimes	Alpes-Maritimes	Alpes-Maritimes	Alpes-Maritimes	https://ru.wikipedia.org/wiki/Приморские_Альпы_(департамент)	https://uk.wikipedia.org/wiki/Приморські_Альпи_(департамент)	https://en.wikipedia.org/wiki/Alpes-Maritimes	https://de.wikipedia.org/wiki/Département_Alpes-Maritimes	https://pl.wikipedia.org/wiki/Alpy_Nadmorskie_(departament)	https://es.wikipedia.org/wiki/Alpes_Marítimos_(departamento)	https://pt.wikipedia.org/wiki/Alpes_Marítimos	https://it.wikipedia.org/wiki/Alpi_Marittime_(dipartimento)	https://nl.wikipedia.org/wiki/Alpes-Maritimes	https://da.wikipedia.org/wiki/Alpes-Maritimes	https://no.wikipedia.org/wiki/Alpes-Maritimes	https://sv.wikipedia.org/wiki/Alpes-Maritimes	https://cs.wikipedia.org/wiki/Alpes-Maritimes	https://ro.wikipedia.org/wiki/Alpes-Maritimes	https://bg.wikipedia.org/wiki/Алп_Маритим	https://hu.wikipedia.org/wiki/Alpes-Maritimes	https://sk.wikipedia.org/wiki/Alpes-Maritimes	https://sl.wikipedia.org/wiki/Alpes-Maritimes	https://sh.wikipedia.org/wiki/Alpes-Maritimes	https://hr.wikipedia.org/wiki/Alpes-Maritimes
07	84	7	7186	5	ARDECHE	Ardèche	/wiki/Ardèche_(département)	Ardèche (département)	Ardèche	France	Auvergne-Rhône-Alpes	4 mars 1790	(Préfecture) Privas	Largentière Tournon-sur-Rhône	None	Alain Triolle[1],[2]	07	FR-07	None	Ardéchois	322 381 hab. (2014)	58 hab./km2	5 529 km2	3	3	17	17	339	Ардеш (департамент)	Ардеш	Ardèche	Département Ardèche	Ardèche	Ardèche	Ardèche	Ardèche	Ardèche (departement)	Ardèche	Ardèche	Ardèche	Ardèche	Ardèche	Ардеш (департамент)	Ardèche (megye)	Ardèche (departement)	Ardèche (departma)	Ardèche		https://ru.wikipedia.org/wiki/Ардеш_(департамент)	https://uk.wikipedia.org/wiki/Ардеш	https://en.wikipedia.org/wiki/Ardèche	https://de.wikipedia.org/wiki/Département_Ardèche	https://pl.wikipedia.org/wiki/Ardèche	https://es.wikipedia.org/wiki/Ardèche	https://pt.wikipedia.org/wiki/Ardèche	https://it.wikipedia.org/wiki/Ardèche	https://nl.wikipedia.org/wiki/Ardèche_(departement)	https://da.wikipedia.org/wiki/Ardèche	https://no.wikipedia.org/wiki/Ardèche	https://sv.wikipedia.org/wiki/Ardèche	https://cs.wikipedia.org/wiki/Ardèche	https://ro.wikipedia.org/wiki/Ardèche	https://bg.wikipedia.org/wiki/Ардеш_(департамент)	https://hu.wikipedia.org/wiki/Ardèche_(megye)	https://sk.wikipedia.org/wiki/Ardèche_(departement)	https://sl.wikipedia.org/wiki/Ardèche_(departma)	https://sh.wikipedia.org/wiki/Ardèche	
04	93	4	4070	4	ALPES-DE-HAUTE-PROVENCE	Alpes-de-Haute-Provence	/wiki/Alpes-de-Haute-Provence	Alpes-de-Haute-Provence	Alpes-de-Haute-Provence	France	Provence-Alpes-Côte d'Azur	4 mars 1790	(Préfecture) Digne-les-Bains	Barcelonnette Castellane Forcalquier	None	Bernard Guérin[1]	04	FR-04	None	Bas-Alpins	161 588 hab. (2014)	23 hab./km2	6 925 km2	4	2	15	8	198	Альпы Верхнего Прованса	Альпи Верхнього Провансу	Alpes-de-Haute-Provence	Département Alpes-de-Haute-Provence	Alpy Górnej Prowansji	Alpes de Alta Provenza	Alpes da Alta Provença	Alpi dell'Alta Provenza	Alpes-de-Haute-Provence	Alpes-de-Haute-Provence	Alpes-de-Haute-Provence	Alpes-de-Haute-Provence	Alpes-de-Haute-Provence	Alpes-de-Haute-Provence	Алп дьо От Прованс	Alpes-de-Haute-Provence	Alpes-de-Haute-Provence	Alpes-de-Haute-Provence	Alpes-de-Haute-Provence		https://ru.wikipedia.org/wiki/Альпы_Верхнего_Прованса	https://uk.wikipedia.org/wiki/Альпи_Верхнього_Провансу	https://en.wikipedia.org/wiki/Alpes-de-Haute-Provence	https://de.wikipedia.org/wiki/Département_Alpes-de-Haute-Provence	https://pl.wikipedia.org/wiki/Alpy_Górnej_Prowansji	https://es.wikipedia.org/wiki/Alpes_de_Alta_Provenza	https://pt.wikipedia.org/wiki/Alpes_da_Alta_Provença	https://it.wikipedia.org/wiki/Alpi_dell'Alta_Provenza	https://nl.wikipedia.org/wiki/Alpes-de-Haute-Provence	https://da.wikipedia.org/wiki/Alpes-de-Haute-Provence	https://no.wikipedia.org/wiki/Alpes-de-Haute-Provence	https://sv.wikipedia.org/wiki/Alpes-de-Haute-Provence	https://cs.wikipedia.org/wiki/Alpes-de-Haute-Provence	https://ro.wikipedia.org/wiki/Alpes-de-Haute-Provence	https://bg.wikipedia.org/wiki/Алп_дьо_От_Прованс	https://hu.wikipedia.org/wiki/Alpes-de-Haute-Provence	https://sk.wikipedia.org/wiki/Alpes-de-Haute-Provence	https://sl.wikipedia.org/wiki/Alpes-de-Haute-Provence	https://sh.wikipedia.org/wiki/Alpes-de-Haute-Provence	
05	93	5	5061	4	HAUTES-ALPES	Hautes-Alpes	/wiki/Hautes-Alpes	Hautes-Alpes	Hautes-Alpes	France	Provence-Alpes-Côte d'Azur	4 mars 1790	(Préfecture) Gap	Briançon	None	Philippe Court[1]	05	FR-05	None	Haut-Alpins	139 883 hab. (2014)	25 hab./km2	5 549 km2	2	2	15	8	167	Верхние Альпы	Верхні Альпи	Hautes-Alpes	Département Hautes-Alpes	Alpy Wysokie	Altos Alpes	Altos Alpes	Alte Alpi	Hautes-Alpes	Hautes-Alpes	Hautes-Alpes	Hautes-Alpes	Hautes-Alpes	Hautes-Alpes	Отз Алп	Hautes-Alpes	Hautes-Alpes	Hautes-Alpes	Hautes-Alpes		https://ru.wikipedia.org/wiki/Верхние_Альпы	https://uk.wikipedia.org/wiki/Верхні_Альпи	https://en.wikipedia.org/wiki/Hautes-Alpes	https://de.wikipedia.org/wiki/Département_Hautes-Alpes	https://pl.wikipedia.org/wiki/Alpy_Wysokie	https://es.wikipedia.org/wiki/Altos_Alpes	https://pt.wikipedia.org/wiki/Altos_Alpes	https://it.wikipedia.org/wiki/Alte_Alpi	https://nl.wikipedia.org/wiki/Hautes-Alpes	https://da.wikipedia.org/wiki/Hautes-Alpes	https://no.wikipedia.org/wiki/Hautes-Alpes	https://sv.wikipedia.org/wiki/Hautes-Alpes	https://cs.wikipedia.org/wiki/Hautes-Alpes	https://ro.wikipedia.org/wiki/Hautes-Alpes	https://bg.wikipedia.org/wiki/Отз_Алп	https://hu.wikipedia.org/wiki/Hautes-Alpes	https://sk.wikipedia.org/wiki/Hautes-Alpes	https://sl.wikipedia.org/wiki/Hautes-Alpes	https://sh.wikipedia.org/wiki/Hautes-Alpes	
08	44	8	8105	4	ARDENNES	Ardennes	/wiki/Ardennes_(département)	Ardennes (département)	Ardennes	France	Grand Est	4 mars 1790	(Préfecture) Charleville-Mézières	Rethel Sedan Vouziers	None	Pascal Joly[1]	08	FR-08	None	Ardennais	279 715 hab. (2014)	53 hab./km2	5 229 km2	4	3	19	8	452	Арденны (департамент)	Арденни (департамент)	Ardennes (department)	Département Ardennes	Ardeny (departament)	Ardenas	Ardenas (departamento)	Ardenne (dipartimento)	Ardennes	Ardennes	Ardennes	Ardennes	Ardensko	Ardennes	Арден	Ardennes	Ardennes (departement)	Ardennes (departma)	Ardennes (departman)	Ardennes (departman)	https://ru.wikipedia.org/wiki/Арденны_(департамент)	https://uk.wikipedia.org/wiki/Арденни_(департамент)	https://en.wikipedia.org/wiki/Ardennes_(department)	https://de.wikipedia.org/wiki/Département_Ardennes	https://pl.wikipedia.org/wiki/Ardeny_(departament)	https://es.wikipedia.org/wiki/Ardenas	https://pt.wikipedia.org/wiki/Ardenas_(departamento)	https://it.wikipedia.org/wiki/Ardenne_(dipartimento)	https://nl.wikipedia.org/wiki/Ardennes	https://da.wikipedia.org/wiki/Ardennes	https://no.wikipedia.org/wiki/Ardennes	https://sv.wikipedia.org/wiki/Ardennes	https://cs.wikipedia.org/wiki/Ardensko	https://ro.wikipedia.org/wiki/Ardennes	https://bg.wikipedia.org/wiki/Арден	https://hu.wikipedia.org/wiki/Ardennes	https://sk.wikipedia.org/wiki/Ardennes_(departement)	https://sl.wikipedia.org/wiki/Ardennes_(departma)	https://sh.wikipedia.org/wiki/Ardennes_(departman)	https://hr.wikipedia.org/wiki/Ardennes_(departman)
09	76	9	9122	5	ARIEGE	Ariège	/wiki/Ariège_(département)	Ariège (département)	Ariège	France	Occitanie	4 mars 1790	(Préfecture) Foix	Pamiers Saint-Girons	None	None	09	FR-09	None	Ariégeois	152 574 hab. (2014)	31 hab./km2	4 890 km2	3	2	13	8	331	Арьеж	Ар'єж	Ariège (department)	Département Ariège	Ariège (departament)	Ariège	Ariège	Ariège	Ariège (departement)	Ariège	Ariège	Ariège	Ariège (departement)	Ariège	Ариеж (департамент)	Ariège (megye)	Ariège (departement)	Ariège (departma)	Ariège		https://ru.wikipedia.org/wiki/Арьеж	https://uk.wikipedia.org/wiki/Ар'єж	https://en.wikipedia.org/wiki/Ariège_(department)	https://de.wikipedia.org/wiki/Département_Ariège	https://pl.wikipedia.org/wiki/Ariège_(departament)	https://es.wikipedia.org/wiki/Ariège	https://pt.wikipedia.org/wiki/Ariège	https://it.wikipedia.org/wiki/Ariège	https://nl.wikipedia.org/wiki/Ariège_(departement)	https://da.wikipedia.org/wiki/Ariège	https://no.wikipedia.org/wiki/Ariège	https://sv.wikipedia.org/wiki/Ariège	https://cs.wikipedia.org/wiki/Ariège_(departement)	https://ro.wikipedia.org/wiki/Ariège	https://bg.wikipedia.org/wiki/Ариеж_(департамент)	https://hu.wikipedia.org/wiki/Ariège_(megye)	https://sk.wikipedia.org/wiki/Ariège_(departement)	https://sl.wikipedia.org/wiki/Ariège_(departma)	https://sh.wikipedia.org/wiki/Ariège	
39	27	39	39300	2	JURA	Jura	/wiki/Jura_(département)	Jura (département)	Jura	France	Bourgogne-Franche-Comté	4 mars 1790	(Préfecture) Lons-le-Saunier	Dole Saint-Claude	None	Richard Vignon	39	FR-39	None	Jurassiens, Jurassiennes	260 681 hab. (2014)	52 hab./km2	4 999 km2	3	3	17	17	509	Юра (департамент)	Жура (департамент)	Jura (department)	Département Jura	Jura (departament)	Jura (departamento)	Jura (departamento)	Giura (dipartimento)	Jura (departement)	Jura (departement)	Jura (departement)	Jura (departement)	Jura (departement)	Jura (departament)	Жура	Jura (megye)	Jura (departement)	Jura (departma)	Jura (departman)		https://ru.wikipedia.org/wiki/Юра_(департамент)	https://uk.wikipedia.org/wiki/Жура_(департамент)	https://en.wikipedia.org/wiki/Jura_(department)	https://de.wikipedia.org/wiki/Département_Jura	https://pl.wikipedia.org/wiki/Jura_(departament)	https://es.wikipedia.org/wiki/Jura_(departamento)	https://pt.wikipedia.org/wiki/Jura_(departamento)	https://it.wikipedia.org/wiki/Giura_(dipartimento)	https://nl.wikipedia.org/wiki/Jura_(departement)	https://da.wikipedia.org/wiki/Jura_(departement)	https://no.wikipedia.org/wiki/Jura_(departement)	https://sv.wikipedia.org/wiki/Jura_(departement)	https://cs.wikipedia.org/wiki/Jura_(departement)	https://ro.wikipedia.org/wiki/Jura_(departament)	https://bg.wikipedia.org/wiki/Жура	https://hu.wikipedia.org/wiki/Jura_(megye)	https://sk.wikipedia.org/wiki/Jura_(departement)	https://sl.wikipedia.org/wiki/Jura_(departma)	https://sh.wikipedia.org/wiki/Jura_(departman)	
38	84	38	38185	5	ISERE	Isère	/wiki/Isère_(département)	Isère (département)	Isère	France	Auvergne-Rhône-Alpes	4 mars 1790	(Préfecture) Grenoble	La Tour-du-Pin Vienne	None	Lionel Beffre[1]	38	FR-38	None	Isérois ou Iserans	1 243 597 hab. (2014)	167 hab./km2	7 431 km2	3	10	29	19	521	Изер (департамент)	Ізер	Isère	Département Isère	Isère (departament)	Isère	Isère	Isère	Isère (departement)	Isère	Isère	Isère	Isère (departement)	Isère	Изер (департамент)	Isère (megye)	Isère (departement)	Isère (departma)	Isère (departman)		https://ru.wikipedia.org/wiki/Изер_(департамент)	https://uk.wikipedia.org/wiki/Ізер	https://en.wikipedia.org/wiki/Isère	https://de.wikipedia.org/wiki/Département_Isère	https://pl.wikipedia.org/wiki/Isère_(departament)	https://es.wikipedia.org/wiki/Isère	https://pt.wikipedia.org/wiki/Isère	https://it.wikipedia.org/wiki/Isère	https://nl.wikipedia.org/wiki/Isère_(departement)	https://da.wikipedia.org/wiki/Isère	https://no.wikipedia.org/wiki/Isère	https://sv.wikipedia.org/wiki/Isère	https://cs.wikipedia.org/wiki/Isère_(departement)	https://ro.wikipedia.org/wiki/Isère	https://bg.wikipedia.org/wiki/Изер_(департамент)	https://hu.wikipedia.org/wiki/Isère_(megye)	https://sk.wikipedia.org/wiki/Isère_(departement)	https://sl.wikipedia.org/wiki/Isère_(departma)	https://sh.wikipedia.org/wiki/Isère_(departman)	
