X,Y,OBJECTNUMB,NAMEOBJECT,NAME
28.626547287724,55.3242243445051,6698,Âîðîíè÷è,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.5630708913733,53.7528890347897,19991,Êîòÿãè,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.632805534052,53.7191793503587,19989,Êàéêîâî,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
23.467175114367,52.4129677775424,1124,Ìèíåâè÷è,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
23.8763454245803,52.1640804550608,555,Çáèðîãè,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
26.546307636716,52.8959677557151,18774,Ãîëûíêà,Ñåëüñêèé íàñåëåííûé ïóíêò - àãðîãîðîäîê
28.137986363183,55.8719734685001,3558,Êîõàíîâè÷è,Ñåëüñêèé íàñåëåííûé ïóíêò - àãðîãîðîäîê
23.9042642860144,53.7140728524536,27965,Çàáîëîòü,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
23.9049121910694,53.7378109037982,27967,×åùàâëÿíû,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
26.0564767754178,52.0577585168383,2033,Çàâèä÷èöû,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
26.1588185751253,52.3488823889492,1970,Þçåôèíû,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
26.1479453615579,52.3668411305051,1967,Ëûùå,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
27.9868094543337,55.7820724290788,3528,Áåëüêîâùèíà,Ñåëüñêèé íàñåëåííûé ïóíêò - àãðîãîðîäîê
28.4991188293245,55.3590559559001,6581,Íàâëèöà,Ñåëüñêèé íàñåëåííûé ïóíêò - äåðåâíÿ
26.8444855747867,55.1120396301085,6993,Ïîñòàâû,Ãîðîä ðàéîííîãî ïîä÷èíåíèÿ-ÀÒÅ
30.0856436971871,54.6895022286101,7825,Êîêîâ÷èíî,Ñåëüñêèé íàñåëåííûé ïóíêò - àãðîãîðîäîê
30.1765473335499,54.6816747824724,7833,Ëèòóñîâî,Ñåëüñêèé íàñåëåííûé ïóíêò - àãðîãîðîäîê
27.8949708114936,52.1736669742413,10483,Êðàñíàÿ Çîðüêà,Ñåëüñêèé íàñåëåííûé ïóíêò - ïîñåëîê
32.0516827206647,53.3652067399539,24214,Êîñòþêîâè÷è,Ãîðîä ðàéîííîãî ïîä÷èíåíèÿ-ÀÒÅ
