"OBJECTNUMB,N,19,11","NAMEOBJECT,C,50","NAMEREGION,C,50","NAMEDISTR,C,50","NAMESETTLE,C,50","XCOORD,N,19,11","YCOORD,N,19,11"
"72179,00000000000","""Звезда""",Минская обл.,Смолевичский р-н,д. Избицкое,"54,05125887170","27,93760243750"
"72180,00000000000","""Звездочка-2002""",Минская обл.,Смолевичский р-н,д. Скураты,"54,00201026150","27,94972944640"
"72181,00000000000","""Здоровье-95""",Минская обл.,Смолевичский р-н,д. Подыгрушье,"54,01462622360","28,00366569570"
"72183,00000000000","""Земледелец"" Смолевичский район",Минская обл.,Смолевичский р-н,д. Заброденье,"54,10883135540","28,22125095360"
"72185,00000000000","""Изобилие""",Минская обл.,Смолевичский р-н,д. Буда,"54,12775928130","28,27090792420"
"72186,00000000000","""Информатика-89""",Минская обл.,Смолевичский р-н,д. Скураты,"54,00655674800","27,96116831520"
"72187,00000000000","""Исток""",Минская обл.,Смолевичский р-н,д. Волма,"53,90237600420","27,90058295870"
"72188,00000000000","""Кальники""",Минская обл.,Смолевичский р-н,д. Кальники,"54,12589816250","28,13138563890"
"72189,00000000000","""Кировец""",Минская обл.,Смолевичский р-н,д. Переездная,"53,98976976790","27,89815157160"
"72190,00000000000","""Колосок-3""",Минская обл.,Смолевичский р-н,п. Центральный,"54,03404509470","28,28152152990"
"72191,00000000000","""Конверсия""",Минская обл.,Смолевичский р-н,д. Березовая Гора,"53,86439955700","27,92151773530"
"72192,00000000000","""Крап""",Минская обл.,Смолевичский р-н,д. Яловица,"54,05095624420","28,28902700700"
"72194,00000000000","""Курган Славы""",Минская обл.,Смолевичский р-н,д. Скураты,"54,00988230620","27,96166739590"
"72197,00000000000","""Лесное-70""",Минская обл.,Смолевичский р-н,д. Гончаровка,"53,98049187370","27,89329212220"
"72196,00000000000","""Лесное""",Минская обл.,Смолевичский р-н,д. Точилище,"54,12554774630","28,15563036540"
"72237,00000000000","""Летний вечер""",Минская обл.,Смолевичский р-н,д. Заброденье,"54,11522510050","28,20848415510"
"72198,00000000000","""Людмила""",Минская обл.,Смолевичский р-н,д. Загорье,"54,01220669680","28,00842229070"
"72199,00000000000","""Магнолия""",Минская обл.,Смолевичский р-н,д. Гончаровка,"53,98711786980","27,90636873950"
"72200,00000000000","""Маентак""",Минская обл.,Смолевичский р-н,д. Переездная,"53,99372257920","27,93342242020"
"72201,00000000000","""Меридиан-2002""",Минская обл.,Смолевичский р-н,д. Гончаровка,"53,97457445880","27,93207437060"
"72202,00000000000","""Мечта"" Смолевичского района",Минская обл.,Смолевичский р-н,д. Скураты,"53,99856601880","27,96961680360"
"72203,00000000000","""Минута""",Минская обл.,Смолевичский р-н,п. Центральный,"54,03795810890","28,29278048410"
"72204,00000000000","""Мичуринец и К""",Минская обл.,Смолевичский р-н,д. Грядки,"54,11924455310","28,27475802280"
"72206,00000000000","""Мэта""",Минская обл.,Смолевичский р-н,д. Лозовый Куст,"53,85673233320","27,93093770900"
"72208,00000000000","""Надежда АТЭП-5""",Минская обл.,Смолевичский р-н,д. Подыгрушье,"54,00251815040","27,97758137230"
"72207,00000000000","""Надежда-АРДИ""",Минская обл.,Смолевичский р-н,д. Переездная,"53,98942117120","27,91359028910"
"72209,00000000000","""Надежда"" Смолевичского района",Минская обл.,Смолевичский р-н,д. Загорье,"53,99999018760","27,97414338520"
"72228,00000000000","""Наш Родник""",Минская обл.,Смолевичский р-н,д. Плющай,"53,81589934930","27,89581384870"
"72210,00000000000","""Нейтрон""",Минская обл.,Смолевичский р-н,д. Заямное,"53,86048359840","27,89473084940"
"72211,00000000000","""Обувщик-5""",Минская обл.,Смолевичский р-н,д. Калита,"53,81966869150","27,89755138900"
"72212,00000000000","""Огонек"" Смолевичского района",Минская обл.,Смолевичский р-н,д. Орешники,"53,99223592630","27,96336573100"
"72213,00000000000","""Орешники""",Минская обл.,Смолевичский р-н,д. Орешники,"53,99322334110","27,96588610930"
"72214,00000000000","""Отдых""",Минская обл.,Смолевичский р-н,д. Скураты,"54,00074216530","27,96675435770"
"72219,00000000000","""Плиса""",Минская обл.,Смолевичский р-н,д. Демидова Жесть,"54,05132877230","28,26065847660"
"72220,00000000000","""Плисянка""",Минская обл.,Смолевичский р-н,д. Демидова Жесть,"54,04740345790","28,26028187220"
"72218,00000000000","""Пограничник""",Минская обл.,Смолевичский р-н,д. Быкачино,"53,88687853160","27,97379364090"
"72216,00000000000","""Подигрушье""",Минская обл.,Смолевичский р-н,д. Скураты,"54,00991069160","27,97770347440"
"72217,00000000000","""Полет-2002""",Минская обл.,Смолевичский р-н,д. Заямное,"53,86279388660","27,89925211500"
"82774,00000000000","""Пралеска-1""",Минская обл.,Смолевичский р-н,д. Избицкое,"54,05558368800","27,94494622970"
"72759,00000000000","""Пролеска-88""",Минская обл.,Смолевичский р-н,д. Скураты,"54,00008407340","27,95799488850"
"72758,00000000000","""Пролеска"" Смолевичский район",Минская обл.,Смолевичский р-н,д. Домашаны,"54,00134587160","27,93657886310"
"72222,00000000000","""Радуга-4""",Минская обл.,Смолевичский р-н,п. Центральный,"54,04040254970","28,29815977230"
"72223,00000000000","""Рамонак"" Смолевичский район",Минская обл.,Смолевичский р-н,д. Загорье,"53,99926043700","27,98210899760"
"72224,00000000000","""Раница-96""",Минская обл.,Смолевичский р-н,д. Лавля,"54,05611978870","28,26544632300"
"72227,00000000000","""Реченька""",Минская обл.,Смолевичский р-н,д. Волма,"53,91371707590","27,92765300100"
"72233,00000000000","""Родник-Элитный""",Минская обл.,Смолевичский р-н,д. Скураты,"54,01011705940","27,96478708610"
"72229,00000000000","""Родник""",Минская обл.,Смолевичский р-н,д. Рудомейка,"54,07164820900","27,89336059870"
"72230,00000000000","""Родничок-96""",Минская обл.,Смолевичский р-н,д. Домашаны,"53,99854722930","27,93494910590"
"72232,00000000000","""Ромашка""",Минская обл.,Смолевичский р-н,д. Яловица,"54,05834022610","28,27500550640"
"72235,00000000000","""Росинка-1""",Минская обл.,Смолевичский р-н,д. Лютка,"54,11500716670","28,16079734290"
"72234,00000000000","""Росинка-88""",Минская обл.,Смолевичский р-н,д. Домашаны,"54,00021138330","27,93874453650"
