id,region_id,lat,lng,title
100665568,2483,46.980000,26.930000,Tămăşeni
100665636,2491,46.920000,27.680000,Tăcuta
100665653,2484,44.500000,22.110000,Sviniţa
100665664,2469,45.220000,27.430000,Şuţeşti
100665691,2501,46.670000,25.550000,Suseni
100665700,2473,44.720000,24.950000,Suseni
100665708,2472,44.580000,24.100000,Şuşani
100665729,2496,47.250000,23.350000,Surduc
100665738,2469,45.070000,27.330000,Surdila-Găiseanca
100665752,2474,45.850000,24.170000,Şura Mare
100665754,2465,45.680000,27.400000,Suraia
100665758,2479,47.470000,22.800000,Supuru de Jos
100665767,2470,46.930000,22.530000,Şuncuiuş
100665786,2478,47.650000,26.920000,Suliţa
100665790,2486,45.150000,29.670000,Sulina
100665799,2473,45.250000,24.530000,Şuici
100665809,2478,48.130000,26.420000,Suharău
100665813,2500,43.730000,25.250000,Suhaia
100665820,2495,45.770000,23.630000,Şugag
100665839,2476,47.430000,24.030000,Suciu de Sus
100665850,2481,47.630000,26.250000,Suceava
100665899,2481,47.470000,25.770000,Stulpicani
100665909,2490,43.970000,24.420000,Studina
100665914,2467,47.170000,26.980000,Strunga
100665933,2478,47.620000,26.130000,Stroeşti
100665938,2480,45.080000,23.900000,Stroeşti
100665946,2476,47.780000,24.130000,Strâmtura
100665982,2495,46.220000,23.630000,Stremţ
100665990,2490,44.530000,24.270000,Strejeşti
100665997,2484,44.620000,23.200000,Strehaia
100666007,2482,45.930000,27.050000,Străoane
100666012,2481,47.920000,25.550000,Straja
100666029,2500,43.880000,25.450000,Ștorobăneasa
100666031,2478,47.550000,26.870000,Storeşti
100666035,2473,44.570000,24.780000,Stolnici
100666037,2467,47.200000,26.730000,Stolniceni-Prăjescu
100666048,2485,44.680000,23.630000,Stoina
100666050,2480,44.900000,24.380000,Stoileşti
100666058,2490,44.180000,24.630000,Stoicăneşti
100666067,2473,45.250000,25.170000,Stoeneşti
100666069,2480,45.120000,24.170000,Stoeneşti
100666074,2494,44.140000,25.900000,Stoeneşti
100666085,2478,47.970000,26.780000,Ştiubieni
100666146,2477,45.080000,26.720000,Stâlpu
100666149,2473,45.050000,24.970000,Stâlpeni
100666198,2485,44.770000,23.680000,Stejari
100666217,2478,47.780000,27.180000,Ştefăneşti-Sat
100666223,2460,44.530000,26.200000,Ştefăneştii de Jos
100666235,2473,44.870000,24.930000,Ştefăneşti
100666238,2480,44.620000,24.250000,Ştefăneşti
100666248,2490,46.980000,26.520000,Ştefan cel Mare
100666249,2483,46.720000,27.630000,Ştefan cel Mare
100666263,2478,47.720000,26.750000,Stăuceni
100666271,2468,45.320000,26.180000,Starchiojd
100666284,2471,46.430000,27.300000,Stănişeşti
100666287,2491,46.620000,28.170000,Stănileşti
100666305,2494,43.920000,25.830000,Stăneşti
100666309,2469,44.900000,27.830000,Stăncuţa
100666336,2490,44.080000,24.630000,Sprâncenata
100666385,2492,44.120000,26.780000,Spanţov
100666395,2475,46.580000,25.070000,Sovata
100666399,2484,44.850000,22.790000,Şovarna
100666404,2468,45.220000,25.720000,Şotrile
100666433,2489,44.840000,21.860000,Şopotu Nou
100666443,2495,46.220000,24.020000,Şona
100666451,2486,45.180000,28.670000,Somova
100666467,2496,47.320000,23.270000,Someş-Odorhei
100666475,2476,47.520000,23.470000,Şomcuta Mare
100666480,2475,46.770000,24.770000,Solovăstru
100666483,2471,46.550000,26.520000,Solonţ
100666500,2491,46.770000,27.780000,Soleşti
100666504,2492,44.220000,26.520000,Şoldanu
100666509,2481,47.700000,25.850000,Solca
100666524,2488,45.920000,22.900000,Şoimuş
100666528,2470,46.680000,22.120000,Şoimi
100666533,2468,45.180000,26.200000,Şoimari
100666561,2492,44.320000,26.500000,Sohatu
100666580,2489,44.860000,21.370000,Socol
100666611,2460,44.700000,26.180000,Snagov
100666625,2465,45.480000,27.930000,Smîrdan
100666641,2477,44.980000,26.850000,Smeeni
100666665,2500,43.920000,24.700000,Slobozia Mândra
100666670,2465,45.580000,27.780000,Slobozia Conachi
100666674,2482,45.690168,27.132060,Câmpineanca
100666676,2482,45.500000,27.050000,Slobozia Bradului
100666715,2499,44.570000,27.370000,Slobozia
100666716,2473,44.520000,25.230000,Slobozia
100666724,2485,44.780000,23.130000,Slivileşti
100666728,2474,45.920000,24.170000,Slimnic
100666752,2480,45.120000,23.920000,Slătioara
100666759,2489,45.250000,22.280000,Slatina-Timiş
100666765,2481,47.450000,26.020000,Slatina
100666767,2490,44.430000,24.370000,Slatina
100666770,2471,46.200000,26.430000,Slănic-Moldova
100666775,2468,45.250000,25.930000,Slănic
100666790,2497,45.650000,26.070000,Sita Buzăului
100666809,2468,44.800000,25.950000,Şirna
100666821,2472,46.270000,21.630000,Şiria
100666828,2467,47.400000,26.730000,Sireţel
100666830,2481,47.950000,26.070000,Siret
100666877,2467,47.470000,27.220000,Şipote
100666887,2497,46.050000,26.130000,Sînzieni
100666916,2488,47.180000,24.300000,Şintereag
100666922,2472,46.520000,21.600000,Sintea Mare
100666928,2470,47.070000,21.870000,Sântandrei
100666936,2472,46.350000,21.500000,Sântana
100666942,2478,47.620000,27.350000,Santa Mare
100666946,2501,46.250000,25.880000,Sânsimion
100666950,2462,46.050000,20.670000,Sânpetru Mare
100666964,2475,46.450000,24.350000,Sânpaul
100666973,2462,46.080000,20.630000,Sânnicolau Mare
100666981,2462,45.700000,21.090000,Sânmihaiu Român
100667008,2501,46.270000,25.930000,Sînmartin
100667020,2494,44.230000,25.940000,Singureni
100667023,2468,45.130000,26.350000,Sîngeru
100667034,2475,46.570000,24.600000,Sângeorgiu de Mureș
100667043,2467,47.120000,27.180000,Sineşti
100667055,2501,46.580000,25.780000,Sândominic
100667059,2475,46.550000,24.500000,Sâncraiu de Mureș
100667069,2501,46.300000,25.850000,Sâncrăieni
100667074,2495,46.200000,23.950000,Sâncel
100667076,2466,45.770000,25.170000,Şinca Veche
100667089,2462,45.850000,21.170000,Sânandrei
100667091,2468,45.350000,25.550000,Sinaia
100667094,2501,46.330000,25.100000,Șimonești
100667098,2463,44.380000,23.800000,Şimnicu de Sus
100667101,2496,47.230000,22.800000,Şimleu Silvaniei
100667109,2481,47.700000,26.400000,Siminicea
100667118,2470,47.480000,22.100000,Şimian
100667119,2484,44.610000,22.710000,Şimian
100667121,2493,45.850000,23.020000,Simeria
100667148,2472,46.430000,21.450000,Şimand
100667195,2473,44.380000,25.350000,Siliştea
100667216,2482,45.500000,27.120000,Sihlea
100667223,2475,46.220000,24.800000,Sighişoara
100667227,2476,47.930000,23.880000,Sighetu Marmației
100667232,2488,46.980000,24.650000,Şieuţ
100667238,2488,47.080000,24.380000,Şieu-Măgheruş
100667242,2488,47.020000,24.600000,Şieu
100667243,2501,46.420000,25.750000,Siculeni
100667245,2472,46.430000,21.750000,Şicula
100667256,2489,44.740000,21.850000,Sicheviţa
100667262,2461,46.930000,23.880000,Sic
100667268,2474,45.800000,24.150000,Sibiu
100667303,2497,45.870000,25.780000,Sfântu-Gheorghe
100667350,2466,45.830000,25.130000,Şercaia
100667380,2473,44.330000,24.700000,Şerbăneşti
100667395,2478,47.950000,26.300000,Şendriceni
100667402,2465,45.400000,27.920000,Şendreni
100667408,2472,46.120000,20.930000,Semlac
100667420,2474,45.770000,24.200000,Şelimbăr
100667424,2472,46.380000,21.720000,Seleuş
100667429,2487,44.470000,25.300000,Şelaru
100667434,2472,46.100000,20.850000,Şeitin
100667437,2476,47.750000,23.280000,Seini
100667445,2474,46.020000,24.150000,Şeíca Mare
100667449,2500,43.820000,24.800000,Segarcea Vale
100667453,2463,44.100000,23.750000,Segarcea
100667458,2472,46.080000,20.980000,Secusigiu
100667465,2471,46.650000,27.100000,Secuieni
100667515,2472,46.370000,22.120000,Sebiş
100667526,2495,45.970000,23.570000,Sebeş
100667546,2500,43.750000,25.070000,Seaca
100667572,2500,44.150000,24.950000,Scrioaştea
100667582,2477,45.370000,26.670000,Scorţoasa
100667585,2471,46.550000,26.650000,Scorţeni
100667586,2468,45.100000,25.850000,Scorţeni
100667593,2490,44.570000,24.550000,Scorniceşti
100667606,2467,47.380000,26.930000,Scobinţi
100667612,2485,45.020000,23.450000,Scoarţa
100667620,2467,46.920000,27.570000,Scînteia
100667646,2473,45.200000,25.000000,Schitu Goleşti
100667653,2467,47.030000,27.770000,Schitu Duca
100667669,2490,44.350000,24.570000,Schitu
100667670,2494,44.140000,25.840000,Schitu
100667676,2491,46.590000,28.060000,Văleni
100667691,2465,45.500000,27.820000,Schela
100667706,2481,47.650000,26.230000,Scheia
100667708,2467,46.930000,27.520000,Şcheia
100667727,2490,44.000000,24.570000,Scărişoara
100667748,2472,46.020000,22.230000,Săvârşin
100667751,2483,46.850000,26.470000,Săvineşti
100667757,2478,47.950000,26.870000,Săveni
100667759,2499,44.600000,27.650000,Săveni
100667763,2461,46.680000,23.450000,Săvădisla
100667793,2463,44.170000,23.770000,Calopăr
100667872,2481,47.830000,26.020000,Satu Mare
100667873,2479,47.800000,22.880000,Satu Mare
100667882,2476,47.570000,23.430000,Satulung
100667900,2462,45.940000,21.040000,Satchinez
100667917,2471,46.200000,27.100000,Sascut
100667919,2495,45.870000,23.580000,Săsciori
100667950,2477,44.420000,26.650000,Săruleşti
100667952,2481,47.280000,25.350000,Şaru Dornei
100667966,2475,46.750000,24.170000,Sărmaşu
